11708 files found
Loading point clouds...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 11708/11708 [00:36<00:00, 320.30it/s]
Epoch:9 | Step:96000 | Loss:14.39495
Epoch:9 | Step:96500 | Loss:14.50008
Epoch:9 | Step:97000 | Loss:14.49549
Epoch:9 | Step:97500 | Loss:14.29405
Epoch:9 | Step:98000 | Loss:14.59993
Epoch:9 | Step:98500 | Loss:14.4869
Epoch:9 | Step:99000 | Loss:14.62282
Epoch:9 | Step:99500 | Loss:14.57802
Epoch:9 | Step:100000 | Loss:14.8749
Learning rate decay triggered at step 100000, LR is setting to 5e-05.
Epoch:9 | Step:100500 | Loss:14.4743
Epoch:9 | Step:101000 | Loss:14.31923
Epoch:9 | Step:101500 | Loss:14.66062
Epoch:9 | Step:102000 | Loss:14.55134
Epoch:9 | Step:102500 | Loss:14.54824
Epoch:9 | Step:103000 | Loss:14.35072
Epoch:9 | Step:103500 | Loss:14.27826
Epoch:9 | Step:104000 | Loss:14.64175
Epoch:9 | Step:104500 | Loss:14.60146
Epoch:9 | Step:105000 | Loss:14.78535
2025-06-26 06:43:38.048692
Epoch:10 | Step:105500 | Loss:14.34541
Epoch:10 | Step:106000 | Loss:14.33456
Epoch:10 | Step:106500 | Loss:14.40078
Epoch:10 | Step:107000 | Loss:14.69964
Epoch:10 | Step:107500 | Loss:14.52123
Epoch:10 | Step:108000 | Loss:14.48434
Epoch:10 | Step:108500 | Loss:14.0707
Epoch:10 | Step:109000 | Loss:14.46108
Epoch:10 | Step:109500 | Loss:14.34313
Epoch:10 | Step:110000 | Loss:14.44725
Epoch:10 | Step:110500 | Loss:14.73374
Epoch:10 | Step:111000 | Loss:14.50487
Epoch:10 | Step:111500 | Loss:14.56013
Epoch:10 | Step:112000 | Loss:14.61721
Epoch:10 | Step:112500 | Loss:14.51542
Epoch:10 | Step:113000 | Loss:14.77698
Epoch:10 | Step:113500 | Loss:14.54167
Epoch:10 | Step:114000 | Loss:14.48095
Epoch:10 | Step:114500 | Loss:14.42275
Epoch:10 | Step:115000 | Loss:14.45604
Epoch:10 | Step:115500 | Loss:14.66695
Epoch:10 | Step:116000 | Loss:14.49726
Epoch:10 | Step:116500 | Loss:14.6962
Epoch:10 | Step:117000 | Loss:14.56218
2025-06-26 07:31:42.519531
Epoch:11 | Step:117500 | Loss:14.4159
Epoch:11 | Step:118000 | Loss:14.55789
Epoch:11 | Step:118500 | Loss:14.52332
Epoch:11 | Step:119000 | Loss:14.53243
Epoch:11 | Step:119500 | Loss:14.40066
Epoch:11 | Step:120000 | Loss:14.39226
Epoch:11 | Step:120500 | Loss:14.69901
Epoch:11 | Step:121000 | Loss:14.56465
Epoch:11 | Step:121500 | Loss:14.43932
Epoch:11 | Step:122000 | Loss:14.53518
Epoch:11 | Step:122500 | Loss:14.65375
Epoch:11 | Step:123000 | Loss:14.42448
Epoch:11 | Step:123500 | Loss:14.31611
Epoch:11 | Step:124000 | Loss:14.5997
Epoch:11 | Step:124500 | Loss:14.33457
Epoch:11 | Step:125000 | Loss:14.43497
Epoch:11 | Step:125500 | Loss:14.90488
Epoch:11 | Step:126000 | Loss:14.39064
Epoch:11 | Step:126500 | Loss:14.40393
Epoch:11 | Step:127000 | Loss:14.58466
Epoch:11 | Step:127500 | Loss:14.376
Epoch:11 | Step:128000 | Loss:14.72161
Epoch:11 | Step:128500 | Loss:14.2335
2025-06-26 08:19:47.095709
Epoch:12 | Step:129000 | Loss:14.44968
Epoch:12 | Step:129500 | Loss:14.21374
Epoch:12 | Step:130000 | Loss:14.66573
Epoch:12 | Step:130500 | Loss:14.67849
Epoch:12 | Step:131000 | Loss:14.39153
Epoch:12 | Step:131500 | Loss:14.6676
Epoch:12 | Step:132000 | Loss:14.56421
Epoch:12 | Step:132500 | Loss:14.61961
Epoch:12 | Step:133000 | Loss:14.56141
Epoch:12 | Step:133500 | Loss:14.43191
Epoch:12 | Step:134000 | Loss:14.42466
Epoch:12 | Step:134500 | Loss:14.15562
Epoch:12 | Step:135000 | Loss:14.32518
Epoch:12 | Step:135500 | Loss:14.62697
Epoch:12 | Step:136000 | Loss:14.47975
Epoch:12 | Step:136500 | Loss:14.55383
Epoch:12 | Step:137000 | Loss:14.48752
Epoch:12 | Step:137500 | Loss:14.39022
Epoch:12 | Step:138000 | Loss:14.54967
Epoch:12 | Step:138500 | Loss:14.78786
Epoch:12 | Step:139000 | Loss:14.39089
Epoch:12 | Step:139500 | Loss:14.56109
Epoch:12 | Step:140000 | Loss:14.52066
2025-06-26 09:07:52.914784
Epoch:13 | Step:140500 | Loss:14.53118
Epoch:13 | Step:141000 | Loss:14.79612
Epoch:13 | Step:141500 | Loss:14.5772
Epoch:13 | Step:142000 | Loss:14.56091
Epoch:13 | Step:142500 | Loss:14.763
Epoch:13 | Step:143000 | Loss:14.36516
Epoch:13 | Step:143500 | Loss:14.68809
Epoch:13 | Step:144000 | Loss:14.38893
Epoch:13 | Step:144500 | Loss:14.26046
Epoch:13 | Step:145000 | Loss:14.31906
Epoch:13 | Step:145500 | Loss:14.55582
Epoch:13 | Step:146000 | Loss:14.52496
Epoch:13 | Step:146500 | Loss:14.35889
Epoch:13 | Step:147000 | Loss:14.7383
Epoch:13 | Step:147500 | Loss:14.55714
Epoch:13 | Step:148000 | Loss:14.59787
Epoch:13 | Step:148500 | Loss:14.2608
Epoch:13 | Step:149000 | Loss:14.20268
Epoch:13 | Step:149500 | Loss:14.59908
Epoch:13 | Step:150000 | Loss:14.31348
Learning rate decay triggered at step 150000, LR is setting to 5e-06.
Epoch:13 | Step:150500 | Loss:14.45076
Epoch:13 | Step:151000 | Loss:14.65582
Epoch:13 | Step:151500 | Loss:14.51187
Epoch:13 | Step:152000 | Loss:14.43937
2025-06-26 09:56:01.326600
Epoch:14 | Step:152500 | Loss:14.50916
Epoch:14 | Step:153000 | Loss:14.56236
Epoch:14 | Step:153500 | Loss:14.38632
Epoch:14 | Step:154000 | Loss:14.66883
Epoch:14 | Step:154500 | Loss:14.44692
Epoch:14 | Step:155000 | Loss:14.35879
Epoch:14 | Step:155500 | Loss:14.7295
Epoch:14 | Step:156000 | Loss:14.40802
Epoch:14 | Step:156500 | Loss:14.33921
Epoch:14 | Step:157000 | Loss:14.43315
Epoch:14 | Step:157500 | Loss:14.59299
Epoch:14 | Step:158000 | Loss:14.56758
Epoch:14 | Step:158500 | Loss:14.62333
Epoch:14 | Step:159000 | Loss:14.21719
Epoch:14 | Step:159500 | Loss:14.45278
Epoch:14 | Step:160000 | Loss:14.13065
Epoch:14 | Step:160500 | Loss:14.52995
Epoch:14 | Step:161000 | Loss:14.35263
Epoch:14 | Step:161500 | Loss:14.40947
Epoch:14 | Step:162000 | Loss:14.41311
Epoch:14 | Step:162500 | Loss:14.54007
Epoch:14 | Step:163000 | Loss:14.5365
Epoch:14 | Step:163500 | Loss:14.78455
2025-06-26 10:44:06.893453
Epoch:15 | Step:164000 | Loss:14.7626
Epoch:15 | Step:164500 | Loss:14.51198
Epoch:15 | Step:165000 | Loss:14.54334
Epoch:15 | Step:165500 | Loss:14.37036
Epoch:15 | Step:166000 | Loss:14.63474
Epoch:15 | Step:166500 | Loss:14.31367
Epoch:15 | Step:167000 | Loss:14.2654
Epoch:15 | Step:167500 | Loss:14.49812
Epoch:15 | Step:168000 | Loss:14.65652
Epoch:15 | Step:168500 | Loss:14.41279
Epoch:15 | Step:169000 | Loss:14.47735
Epoch:15 | Step:169500 | Loss:14.66183
Epoch:15 | Step:170000 | Loss:14.64825
